millis,lat,lon,sat,alt,data,hora,altp,p,ax,ay,az,gx,gy,gz,pqd
49934,-22.590944,-42.764538,12,11.70,2025/6/2,13:30:55,0.40,1026.52,0.40,9.85,-0.31,0.01,0.03,-0.09,0
50172,-22.590944,-42.764538,12,11.70,2025/6/2,13:30:55,0.50,1026.51,0.05,9.64,-0.24,0.05,-0.31,0.08,0
50409,-22.590944,-42.764538,12,11.70,2025/6/2,13:30:55,0.73,1026.48,-0.29,9.45,-0.42,0.07,-0.17,-0.01,0
50657,-22.590944,-42.764538,12,11.70,2025/6/2,13:30:55,0.42,1026.52,-0.14,9.25,-0.57,0.06,0.10,-0.09,0
50901,-22.590944,-42.764538,12,11.70,2025/6/2,13:30:56,0.33,1026.53,-0.06,9.49,-0.49,-0.25,-0.17,0.19,0
51250,-22.590944,-42.764538,12,11.70,2025/6/2,13:30:56,0.29,1026.54,-0.06,9.55,-0.22,-0.08,0.14,0.03,0
51490,-22.590944,-42.764538,12,11.70,2025/6/2,13:30:56,0.23,1026.54,-0.05,9.68,-0.36,-0.06,0.04,-0.02,0
51728,-22.590944,-42.764538,12,11.70,2025/6/2,13:30:56,0.49,1026.51,-0.10,9.49,-0.34,-0.02,-0.02,0.04,0
51966,-22.590944,-42.764538,12,11.70,2025/6/2,13:30:57,0.54,1026.51,-0.04,9.54,-0.16,0.06,0.01,0.05,0
52204,-22.590944,-42.764538,12,11.70,2025/6/2,13:30:57,0.30,1026.53,0.03,9.72,-0.32,-0.15,-0.03,0.00,0
52449,-22.590944,-42.764538,12,11.70,2025/6/2,13:30:57,0.30,1026.54,-0.11,9.62,-0.15,0.07,0.10,-0.01,0
52693,-22.590944,-42.764538,12,11.70,2025/6/2,13:30:57,0.32,1026.53,0.09,9.75,-0.21,-0.22,0.13,0.01,0
52929,-22.590944,-42.764538,12,11.70,2025/6/2,13:30:58,0.43,1026.52,-0.03,9.63,-0.22,0.14,-0.00,0.02,0
53175,-22.590944,-42.764538,12,11.70,2025/6/2,13:30:58,0.23,1026.54,-0.19,9.55,-0.27,-0.05,0.03,0.05,0
53433,-22.590944,-42.764538,12,11.70,2025/6/2,13:30:58,0.41,1026.52,-0.10,9.39,-0.20,0.12,0.14,0.20,0
53672,-22.590944,-42.764538,12,11.70,2025/6/2,13:30:58,0.29,1026.54,0.25,9.41,-0.44,-0.12,0.10,-0.11,0
53922,-22.590944,-42.764538,12,11.70,2025/6/2,13:30:59,0.32,1026.53,-0.21,9.66,-0.35,-0.01,0.02,0.15,0
54173,-22.590944,-42.764538,12,11.80,2025/6/2,13:30:59,0.22,1026.54,0.10,9.80,-0.45,-0.08,-0.23,0.02,0
54429,-22.590944,-42.764538,12,11.80,2025/6/2,13:30:59,0.38,1026.53,0.17,9.75,-0.46,0.04,-0.37,0.20,0
